caseName,method,transport,mutation,expectedStatus,expectedBody,replayMode
T-01,GET,GET,NONE,200,success,NONE
T-02,POST,POST_FORM,NONE,200,success,NONE
T-03,POST,POST_JSON,NONE,200,success,NONE
T-04,POST,POST_JSON,NONE,200,success,MIXED_REPEAT
T-05,POST,POST_JSON,MISSING_FIELD,400,fail,NONE
T-06,POST,POST_FORM,DUPLICATE_FIELD,400,fail,NONE
T-07,POST,POST_JSON,UNKNOWN_FIELD,400,fail,NONE
T-08,POST,POST_JSON,WRONG_CALLBACK_KEY,401,fail,NONE
T-09,GET,GET,WRONG_SIGNATURE,400,fail,NONE
T-10,POST,POST_JSON,WRONG_MERCHANT,400,fail,NONE
T-11,POST,POST_JSON,WRONG_PAY_TYPE,400,fail,NONE
T-12,POST,POST_FORM,UNSUPPORTED_STATUS,400,fail,NONE
T-13,POST,POST_JSON,WRONG_AMOUNT,200,success,NONE
T-14,POST,POST_JSON,OVERSIZE,400,fail,NONE
T-15,PUT,POST_JSON,UNSUPPORTED_METHODS,403,ANY,NONE
