scenario,group,targetTier,payType,startPayment,cancelAnchor,cancelOffsetSeconds,callbackAnchor,callbackOffsetSeconds,protocol,replayMode,paymentAttemptCheck,raceMode,expectedStatus,expectedResolution
NG-NOATTEMPT-01,CLOSED,GO,alipay,false,NONE,0,HARD_CLOSE,1,NONE,NONE,NONE,NONE,CLOSED,NONE
NG-NOATTEMPT-02,CLOSED,GO,wxpay,false,NONE,0,HARD_CLOSE,2,NONE,NONE,NONE,NONE,CLOSED,NONE
NG-NOATTEMPT-03,CLOSED,GO,alipay,false,NONE,0,HARD_CLOSE,3,NONE,NONE,NONE,NONE,CLOSED,NONE
NG-NOATTEMPT-04,CLOSED,GO,wxpay,false,NONE,0,HARD_CLOSE,4,NONE,NONE,NONE,NONE,CLOSED,NONE
NG-NOATTEMPT-05,CLOSED,GO,alipay,false,NONE,0,HARD_CLOSE,5,NONE,NONE,NONE,NONE,CLOSED,NONE
NG-ATTEMPT-01,CLOSED,GO,wxpay,true,NONE,0,HARD_CLOSE,1,NONE,NONE,NONE,NONE,CLOSED,NONE
NG-ATTEMPT-02,CLOSED,GO,alipay,true,NONE,0,HARD_CLOSE,2,NONE,NONE,NONE,NONE,CLOSED,NONE
NG-ATTEMPT-03,CLOSED,GO,wxpay,true,NONE,0,HARD_CLOSE,3,NONE,NONE,NONE,NONE,CLOSED,NONE
NG-ATTEMPT-04,CLOSED,GO,alipay,true,NONE,0,HARD_CLOSE,4,NONE,NONE,NONE,NONE,CLOSED,NONE
NG-ATTEMPT-05,CLOSED,GO,wxpay,true,NONE,0,HARD_CLOSE,5,NONE,NONE,NONE,NONE,CLOSED,NONE
NG-PENDING-REJECTED-01,PENDING_PAYMENT,GO,alipay,true,NONE,0,CREATED,5,GET,NONE,NONE,NONE,CLOSED,REJECTED
NG-PENDING-REJECTED-02,PENDING_PAYMENT,GO,wxpay,true,NONE,0,CREATED,60,POST_FORM,NONE,NONE,NONE,CLOSED,REJECTED
NG-PENDING-REJECTED-03,PENDING_PAYMENT,GO,alipay,true,NONE,0,CREATED,150,POST_JSON,NONE,NONE,NONE,CLOSED,REJECTED
NG-PENDING-REJECTED-04,PENDING_PAYMENT,GO,wxpay,true,NONE,0,EXPIRES,-10,GET,NONE,NONE,NONE,CLOSED,REJECTED
NG-PENDING-REJECTED-05,PENDING_PAYMENT,GO,alipay,true,NONE,0,EXPIRES,-1,POST_JSON,NONE,NONE,NONE,CLOSED,REJECTED
NG-CLOSING-REJECTED-01,CLOSING,GO,wxpay,true,NONE,0,EXPIRES,1,GET,NONE,NONE,NONE,CLOSED,REJECTED
NG-CLOSING-REJECTED-02,CLOSING,GO,alipay,true,NONE,0,EXPIRES,30,POST_FORM,NONE,NONE,NONE,CLOSED,REJECTED
NG-CLOSING-REJECTED-03,CLOSING,GO,wxpay,true,NONE,0,EXPIRES,150,POST_JSON,NONE,NONE,NONE,CLOSED,REJECTED
NG-CLOSING-REJECTED-04,CLOSING,GO,alipay,true,NONE,0,HARD_CLOSE,-10,GET,NONE,NONE,NONE,CLOSED,REJECTED
NG-CLOSING-REJECTED-05,CLOSING,GO,wxpay,true,NONE,0,HARD_CLOSE,-1,POST_JSON,NONE,NONE,NONE,CLOSED,REJECTED
RR-CANCEL-LATE-01,CANCELLED,GO,alipay,false,CREATED,2,CREATED,5,GET,NONE,REJECT_BEFORE_CALLBACK,NONE,CANCELLED,REFUND_REQUIRED
RR-CANCEL-LATE-02,CANCELLED,GO,wxpay,true,CREATED,2,CREATED,10,POST_FORM,NONE,NONE,NONE,CANCELLED,REFUND_REQUIRED
RR-CANCEL-LATE-03,CANCELLED,GO,alipay,true,CREATED,3,CREATED,15,POST_JSON,NONE,NONE,NONE,CANCELLED,REFUND_REQUIRED
RR-CANCEL-LATE-04,CANCELLED,GO,wxpay,true,EXPIRES,-10,EXPIRES,10,GET,NONE,NONE,NONE,CANCELLED,REFUND_REQUIRED
RR-CANCEL-LATE-05,CANCELLED,GO,alipay,true,CREATED,2,CREATED,10,POST_JSON,SAME_5,NONE,NONE,CANCELLED,REFUND_REQUIRED
RR-CANCEL-RACE-01,CANCELLED,GO,wxpay,false,CREATED,2,CREATED,8,POST_JSON,NONE,REJECT_BEFORE_CALLBACK,CANCEL_BEFORE_PAYMENT_ATTEMPT,CANCELLED,REFUND_REQUIRED
RR-CANCEL-RACE-02,CANCELLED,GO,alipay,true,CREATED,3,CREATED,8,GET,NONE,NONE,PAYMENT_ATTEMPT_BEFORE_CANCEL,CANCELLED,REFUND_REQUIRED
RR-CANCEL-RACE-03,CANCELLED,GO,wxpay,true,CREATED,3,CREATED,12,POST_FORM,NONE,NONE,CANCEL_DURING_PERSIST_PAUSE,CANCELLED,REFUND_REQUIRED
RR-CANCEL-RACE-04,CANCELLED,GO,alipay,false,CREATED,3,CREATED,12,POST_JSON,NONE,NONE,CANCEL_PAYMENT_ATTEMPT_PARALLEL,CANCELLED,REFUND_REQUIRED
RR-CANCEL-RACE-05,CANCELLED,GO,wxpay,true,CREATED,3,CREATED,12,GET,NONE,NONE,CANCEL_IDEMPOTENT_REPLAY_PARALLEL,CANCELLED,REFUND_REQUIRED
RR-CLOSED-LATE-01,CLOSED,GO,alipay,true,NONE,0,HARD_CLOSE,1,GET,NONE,REJECT_BEFORE_CALLBACK,NONE,CLOSED,REFUND_REQUIRED
RR-CLOSED-LATE-02,CLOSED,GO,wxpay,true,NONE,0,HARD_CLOSE,5,POST_FORM,NONE,NONE,NONE,CLOSED,REFUND_REQUIRED
RR-CLOSED-LATE-03,CLOSED,GO,alipay,true,NONE,0,HARD_CLOSE,10,POST_JSON,NONE,NONE,NONE,CLOSED,REFUND_REQUIRED
RR-CLOSED-LATE-04,CLOSED,GO,wxpay,true,NONE,0,HARD_CLOSE,30,GET,SAME_5,NONE,NONE,CLOSED,REFUND_REQUIRED
RR-CLOSED-LATE-05,CLOSED,GO,alipay,true,NONE,0,HARD_CLOSE,60,POST_JSON,MIXED_SAME_AND_DIFFERENT,NONE,NONE,CLOSED,REFUND_REQUIRED
RR-HARDCLOSE-LATE-01,CLOSED,GO,wxpay,true,NONE,0,HARD_CLOSE,1,POST_JSON,NONE,REJECT_BEFORE_CALLBACK,NONE,CLOSED,REFUND_REQUIRED
RR-HARDCLOSE-LATE-02,CLOSED,GO,alipay,true,NONE,0,HARD_CLOSE,10,GET,NONE,NONE,NONE,CLOSED,REFUND_REQUIRED
RR-HARDCLOSE-LATE-03,CLOSED,GO,wxpay,true,NONE,0,HARD_CLOSE,60,POST_FORM,NONE,NONE,NONE,CLOSED,REFUND_REQUIRED
RR-HARDCLOSE-LATE-04,CLOSED,GO,alipay,true,NONE,0,HARD_CLOSE,70,POST_JSON,NONE,NONE,NONE,CLOSED,REFUND_REQUIRED
RR-HARDCLOSE-LATE-05,CLOSED,GO,wxpay,true,NONE,0,HARD_CLOSE,120,GET,DIFFERENT_5_PARALLEL,NONE,NONE,CLOSED,REFUND_REQUIRED
