caseName,phase,targetStage,resolution
PM-A-00,PENDING,0,APPLIED
PM-A-01,PENDING,1,APPLIED
PM-A-02,PENDING,2,APPLIED
PM-A-03,PENDING,3,APPLIED
PM-A-04,PENDING,4,APPLIED
PM-A-05,PENDING,5,APPLIED
PM-A-06,PENDING,6,APPLIED
PM-A-07,PENDING,7,APPLIED
PM-A-08,PENDING,8,APPLIED
PM-R-00,PENDING,0,REJECTED
PM-R-01,PENDING,1,REJECTED
PM-R-02,PENDING,2,REJECTED
PM-R-03,PENDING,3,REJECTED
PM-R-04,PENDING,4,REJECTED
PM-R-05,PENDING,5,REJECTED
PM-R-06,PENDING,6,REJECTED
PM-R-07,PENDING,7,REJECTED
PM-R-08,PENDING,8,REJECTED
CM-A-00,CLOSING,0,APPLIED
CM-A-01,CLOSING,1,APPLIED
CM-A-02,CLOSING,2,APPLIED
CM-A-03,CLOSING,3,APPLIED
CM-A-04,CLOSING,4,APPLIED
CM-R-00,CLOSING,0,REJECTED
CM-R-01,CLOSING,1,REJECTED
CM-R-02,CLOSING,2,REJECTED
CM-R-03,CLOSING,3,REJECTED
CM-R-04,CLOSING,4,REJECTED
