scenario,group,targetTier,payType,startPayment,cancelAnchor,cancelOffsetSeconds,callbackAnchor,callbackOffsetSeconds,protocol,replayMode,paymentAttemptCheck,raceMode,expectedStatus,expectedResolution
P-01,PENDING_PAYMENT,GO,alipay,true,NONE,0,CREATED,5,GET,NONE,NONE,NONE,PAID,APPLIED
P-02,PENDING_PAYMENT,GO,alipay,true,NONE,0,CREATED,60,POST_FORM,NONE,NONE,NONE,PAID,APPLIED
P-03,PENDING_PAYMENT,GO,alipay,true,NONE,0,CREATED,150,POST_JSON,NONE,NONE,NONE,PAID,APPLIED
P-04,PENDING_PAYMENT,GO,alipay,true,NONE,0,EXPIRES,-10,GET,NONE,NONE,NONE,PAID,APPLIED
P-05,PENDING_PAYMENT,GO,alipay,true,NONE,0,EXPIRES,-1,POST_JSON,NONE,NONE,NONE,PAID,APPLIED
C-01,CLOSING,GO,alipay,true,NONE,0,EXPIRES,1,GET,NONE,REJECT_BEFORE_CALLBACK,NONE,PAID,APPLIED
C-02,CLOSING,GO,alipay,true,NONE,0,EXPIRES,10,POST_FORM,NONE,NONE,NONE,PAID,APPLIED
C-03,CLOSING,GO,alipay,true,NONE,0,EXPIRES,150,POST_JSON,NONE,NONE,NONE,PAID,APPLIED
C-04,CLOSING,GO,alipay,true,NONE,0,HARD_CLOSE,-10,GET,NONE,NONE,NONE,PAID,APPLIED
C-05,CLOSING,GO,alipay,true,NONE,0,HARD_CLOSE,-1,POST_JSON,NONE,NONE,NONE,PAID,APPLIED
X-01,CANCELLED,GO,alipay,false,CREATED,2,CREATED,5,GET,NONE,REJECT_BEFORE_CALLBACK,NONE,CANCELLED,REFUND_REQUIRED
X-02,CANCELLED,GO,alipay,true,CREATED,2,CREATED,10,POST_FORM,NONE,NONE,NONE,CANCELLED,REFUND_REQUIRED
X-03,CANCELLED,GO,alipay,true,EXPIRES,-10,EXPIRES,10,POST_JSON,NONE,NONE,NONE,CANCELLED,REFUND_REQUIRED
X-04,CANCELLED,GO,alipay,true,CREATED,2,CREATED,10,GET,SAME_5,NONE,NONE,CANCELLED,REFUND_REQUIRED
X-05,CANCELLED,GO,alipay,true,CREATED,2,CREATED,10,POST_JSON,DIFFERENT_5_PARALLEL,NONE,NONE,CANCELLED,REFUND_REQUIRED
X-06,CANCELLED,GO,alipay,false,CREATED,2,CREATED,8,POST_JSON,NONE,REJECT_BEFORE_CALLBACK,CANCEL_BEFORE_PAYMENT_ATTEMPT,CANCELLED,REFUND_REQUIRED
X-07,CANCELLED,GO,alipay,true,CREATED,3,CREATED,8,GET,NONE,NONE,PAYMENT_ATTEMPT_BEFORE_CANCEL,CANCELLED,REFUND_REQUIRED
X-08,CANCELLED,GO,alipay,true,CREATED,3,CREATED,12,POST_FORM,NONE,NONE,CANCEL_DURING_PERSIST_PAUSE,CANCELLED,REFUND_REQUIRED
X-09,CANCELLED,GO,alipay,false,CREATED,3,CREATED,12,POST_JSON,NONE,NONE,CANCEL_PAYMENT_ATTEMPT_PARALLEL,CANCELLED,REFUND_REQUIRED
X-10,CANCELLED,GO,alipay,true,CREATED,3,CREATED,12,GET,NONE,NONE,CANCEL_IDEMPOTENT_REPLAY_PARALLEL,CANCELLED,REFUND_REQUIRED
D-01,CLOSED,GO,alipay,true,NONE,0,HARD_CLOSE,1,GET,NONE,REJECT_BEFORE_CALLBACK,NONE,CLOSED,REFUND_REQUIRED
D-02,CLOSED,GO,alipay,true,NONE,0,HARD_CLOSE,10,POST_FORM,NONE,NONE,NONE,CLOSED,REFUND_REQUIRED
D-03,CLOSED,GO,alipay,true,NONE,0,HARD_CLOSE,60,POST_JSON,NONE,NONE,NONE,CLOSED,REFUND_REQUIRED
D-04,CLOSED,GO,alipay,true,NONE,0,HARD_CLOSE,70,GET,NONE,NONE,NONE,CLOSED,REFUND_REQUIRED
D-05,CLOSED,GO,alipay,true,NONE,0,HARD_CLOSE,10,POST_JSON,MIXED_SAME_AND_DIFFERENT,NONE,NONE,CLOSED,REFUND_REQUIRED
A-01,PAID,GO,alipay,true,NONE,0,CREATED,5,GET,SAME_5_GET,REJECT_AFTER_FIRST_CALLBACK,NONE,PAID,APPLIED
A-02,PAID,GO,alipay,true,NONE,0,CREATED,5,POST_FORM,SAME_5_FORM,NONE,NONE,PAID,APPLIED
A-03,PAID,GO,alipay,true,NONE,0,CREATED,5,POST_JSON,SAME_5_JSON,NONE,NONE,PAID,APPLIED
A-04,PAID,GO,alipay,true,NONE,0,CREATED,5,GET,MIXED_SAME_PARALLEL,NONE,NONE,PAID,APPLIED
A-05,PAID,GO,alipay,true,NONE,0,CREATED,5,POST_JSON,DIFFERENT_5_PARALLEL,NONE,NONE,PAID,APPLIED
